# 2026-08-26 조사 관점이 낸 신규 기관 229곳
# 소스: docs/데이터/청소년상담복지센터.csv (공공데이터포털) 223곳 + WebSearch 광역 활동진흥센터 6곳
# 형식: 이름 | 종류 | 지역 | 대문주소 | 공고주소 | 칸 | 메모

# 서울 (25)
고양시청소년상담복지센터 |  지역거점 |  경기 |  https://www.gcyf.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
과천시청소년상담복지센터 |  지역거점 |  경기 |  https://www.gc1318.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
구리시청소년상담복지센터 |  지역거점 |  경기 |  http://guri1388.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
남양주시청소년상담복지센터 |  지역거점 |  경기 |  https://www.nyj.go.kr | |  심리상담 |  시청 홈페이지, 전용 도메인 아님 · 실장 확인 200
오산시청소년상담복지센터 |  지역거점 |  경기 |  https://www.osan1318.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 403
시흥시청소년상담복지센터 |  지역거점 |  경기 |  https://www.shyc.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
시흥시정왕청소년상담복지센터 |  지역거점 |  경기 |  https://www.shyc.or.kr | |  심리상담 |  시흥시청소년상담복지센터와 같은 사이트(분원) · 실장 확인 연결 안 됨
군포시청소년상담복지센터 |  지역거점 |  경기 |  https://www.gp1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
의왕시청소년상담복지센터 |  지역거점 |  경기 |  https://www.uyf.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
하남시청소년상담복지센터 |  지역거점 |  경기 |  https://www.hanam.go.kr | |  심리상담 |  시청 홈페이지, 전용 도메인 아님 · 실장 확인 200
용인시청소년상담복지센터 |  지역거점 |  경기 |  https://www.yiyf.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
파주시청소년상담복지센터 |  지역거점 |  경기 |  https://www.pajuyouth.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
이천시청소년상담복지센터 |  지역거점 |  경기 |  https://www.ic1318.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
안성시청소년상담복지센터 |  지역거점 |  경기 |  https://www.an1318.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 403
김포시청소년상담복지센터 |  지역거점 |  경기 |  https://www.fgy.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
화성시청소년상담복지센터 |  지역거점 |  경기 |  https://www.mars1318.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
광주시청소년상담복지센터 |  지역거점 |  경기 |  https://www.ggj1388.or.kr |  https://ggj1388.or.kr/bbs/board.php?bo_table=notice01 |  심리상담 |  경기도 광주시(광주광역시 아님) · 실장 확인 200
양주시청소년상담복지센터 |  지역거점 |  경기 |  https://www.yangju.go.kr | |  심리상담 |  시청 홈페이지, 전용 도메인 아님 · 실장 확인 200
포천시청소년상담복지센터 |  지역거점 |  경기 |  http://www.pocheon.go.kr | |  심리상담 |  시청 홈페이지, 전용 도메인 아님 · 실장 확인 200
여주시청소년상담복지센터 |  지역거점 |  경기 |  http://youth.yeoju.go.kr | |  심리상담 |  시청 하위 도메인 · 실장 확인 연결 안 됨
연천군청소년상담복지센터 |  지역거점 |  경기 |  https://www.yc1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
가평군청소년상담복지센터 |  지역거점 |  경기 |  https://www.gp1318.com | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
양평군청소년상담복지센터 |  지역거점 |  경기 |  https://www.yp21.go.kr | |  심리상담 |  군청 홈페이지, 전용 도메인 아님 · 실장 확인 연결 안 됨

# 강원 (13)
춘천시청소년상담복지센터 |  지역거점 |  강원 |  http://www.cool1388.com | |  심리상담 |  CSV 원문 http · 실장 확인 연결 안 됨
원주시청소년상담복지센터 |  지역거점 |  강원 |  https://www.wonju1388.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
강릉시청소년상담복지센터 |  지역거점 |  강원 |  https://www.gn1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
동해시청소년상담복지센터 |  지역거점 |  강원 |  http://www.dhyc.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 연결 안 됨
태백시청소년상담복지센터 |  지역거점 |  강원 |  https://www.tb1388.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
속초시청소년상담복지센터 |  지역거점 |  강원 |  https://www.sokcho1388.org | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
삼척시청소년상담복지센터 |  지역거점 |  강원 |  http://scc1388.co.kr | |  심리상담 |  CSV 원문 http · 실장 확인 200
홍천군청소년상담복지센터 |  지역거점 |  강원 |  https://www.hcyc1388.org | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
횡성군청소년상담복지센터 |  지역거점 |  강원 |  http://hsg1388.modoo.at | |  심리상담 |  modoo 홈페이지, 전용 도메인 아님 · 실장 확인 200
영월군청소년상담복지센터 |  지역거점 |  강원 |  https://www.kyw1318.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
평창군청소년상담복지센터 |  지역거점 |  강원 |  http://www.pc1388.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
정선군청소년상담복지센터 |  지역거점 |  강원 |  http://www.jsyouth.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
철원군청소년상담복지센터 |  지역거점 |  강원 |  http://youth.cwg.go.kr | |  심리상담 |  군청 하위 도메인 · 실장 확인 연결 안 됨

# 충북 (12)
청주시청소년상담복지센터 |  지역거점 |  충북 |  https://www.cj1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
서청주청소년상담복지센터 |  지역거점 |  충북 |  http://www.1388cw.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
충주시청소년상담복지센터 |  지역거점 |  충북 |  https://www.chungstar.org | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
제천시청소년상담복지센터 |  지역거점 |  충북 |  https://www.jc1318.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
보은군청소년상담복지센터 |  지역거점 |  충북 |  https://www.boeun1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
옥천군청소년상담복지센터 |  지역거점 |  충북 |  https://www.oc.go.kr/youth | |  심리상담 |  군청 하위경로 · 실장 확인 200
영동군청소년상담복지센터 |  지역거점 |  충북 |  https://www.yd1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
증평군청소년상담복지센터 |  지역거점 |  충북 |  https://www.jp1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 403
진천군청소년상담복지센터 |  지역거점 |  충북 |  http://jc1388.co.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
괴산군청소년상담복지센터 |  지역거점 |  충북 |  http://www.goesan1388.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
음성군청소년상담복지센터 |  지역거점 |  충북 |  https://www.es1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
단양군청소년상담복지센터 |  지역거점 |  충북 |  https://www.danyang.go.kr/dy1388 | |  심리상담 |  군청 하위경로 · 실장 확인 200

# 충남 (15)
천안시청소년상담복지센터 |  지역거점 |  충남 |  https://www.cheonan.go.kr/teen.do | |  심리상담 |  시청 하위경로 · 실장 확인 연결 안 됨
